# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 149211.619 ns/op
# Warmup Iteration   2: 68551.063 ns/op
# Warmup Iteration   3: 63610.533 ns/op
# Warmup Iteration   4: 58857.139 ns/op
# Warmup Iteration   5: 58382.096 ns/op
Iteration   1: 57676.812 ns/op
Iteration   2: 57292.460 ns/op
Iteration   3: 60855.120 ns/op
Iteration   4: 56701.951 ns/op
Iteration   5: 56906.768 ns/op

# Run progress: 4.00% complete, ETA 00:04:05
# Fork: 2 of 5
# Warmup Iteration   1: 121385.033 ns/op
# Warmup Iteration   2: 66815.005 ns/op
# Warmup Iteration   3: 57768.262 ns/op
# Warmup Iteration   4: 57204.689 ns/op
# Warmup Iteration   5: 57393.531 ns/op
Iteration   1: 58926.799 ns/op
Iteration   2: 56667.208 ns/op
Iteration   3: 58109.203 ns/op
Iteration   4: 56244.814 ns/op
Iteration   5: 56906.826 ns/op

# Run progress: 8.00% complete, ETA 00:03:54
# Fork: 3 of 5
# Warmup Iteration   1: 115834.533 ns/op
# Warmup Iteration   2: 63937.618 ns/op
# Warmup Iteration   3: 58759.503 ns/op
# Warmup Iteration   4: 61275.541 ns/op
# Warmup Iteration   5: 63327.029 ns/op
Iteration   1: 62789.273 ns/op
Iteration   2: 61851.147 ns/op
Iteration   3: 62710.606 ns/op
Iteration   4: 64399.102 ns/op
Iteration   5: 60544.017 ns/op

# Run progress: 12.00% complete, ETA 00:03:44
# Fork: 4 of 5
# Warmup Iteration   1: 179569.898 ns/op
# Warmup Iteration   2: 67207.688 ns/op
# Warmup Iteration   3: 58561.300 ns/op
# Warmup Iteration   4: 57423.497 ns/op
# Warmup Iteration   5: 56808.926 ns/op
Iteration   1: 57651.290 ns/op
Iteration   2: 57191.045 ns/op
Iteration   3: 57250.216 ns/op
Iteration   4: 55961.674 ns/op
Iteration   5: 57432.546 ns/op

# Run progress: 16.00% complete, ETA 00:03:33
# Fork: 5 of 5
# Warmup Iteration   1: 119921.042 ns/op
# Warmup Iteration   2: 63279.189 ns/op
# Warmup Iteration   3: 57939.576 ns/op
# Warmup Iteration   4: 58036.556 ns/op
# Warmup Iteration   5: 58966.574 ns/op
