# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.MLDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 38901.890 ns/op
# Warmup Iteration   2: 35875.764 ns/op
# Warmup Iteration   3: 35544.366 ns/op
# Warmup Iteration   4: 35467.276 ns/op
# Warmup Iteration   5: 36335.425 ns/op
Iteration   1: 36156.229 ns/op
Iteration   2: 36342.005 ns/op
Iteration   3: 35138.554 ns/op
Iteration   4: 36483.705 ns/op
Iteration   5: 35100.094 ns/op

# Run progress: 4.00% complete, ETA 00:04:05
# Fork: 2 of 5
# Warmup Iteration   1: 35184.149 ns/op
# Warmup Iteration   2: 35270.274 ns/op
# Warmup Iteration   3: 35000.066 ns/op
# Warmup Iteration   4: 34953.706 ns/op
# Warmup Iteration   5: 35489.037 ns/op
Iteration   1: 34955.259 ns/op
Iteration   2: 35738.578 ns/op
Iteration   3: 35045.908 ns/op
Iteration   4: 35136.372 ns/op
Iteration   5: 34846.580 ns/op

# Run progress: 8.00% complete, ETA 00:03:54
# Fork: 3 of 5
# Warmup Iteration   1: 35878.908 ns/op
# Warmup Iteration   2: 35972.936 ns/op
# Warmup Iteration   3: 36003.255 ns/op
# Warmup Iteration   4: 35123.892 ns/op
# Warmup Iteration   5: 35371.993 ns/op
Iteration   1: 34803.415 ns/op
Iteration   2: 35669.398 ns/op
Iteration   3: 34603.691 ns/op
Iteration   4: 35148.006 ns/op
Iteration   5: 34955.411 ns/op

# Run progress: 12.00% complete, ETA 00:03:44
# Fork: 4 of 5
# Warmup Iteration   1: 34880.093 ns/op
# Warmup Iteration   2: 35721.151 ns/op
# Warmup Iteration   3: 35270.566 ns/op
# Warmup Iteration   4: 34426.634 ns/op
# Warmup Iteration   5: 35394.702 ns/op
Iteration   1: 34440.341 ns/op
Iteration   2: 36112.253 ns/op
Iteration   3: 35164.002 ns/op
Iteration   4: 35608.342 ns/op
Iteration   5: 35507.561 ns/op

# Run progress: 16.00% complete, ETA 00:03:34
# Fork: 5 of 5
# Warmup Iteration   1: 36589.556 ns/op
# Warmup Iteration   2: 36414.126 ns/op
# Warmup Iteration   3: 37081.516 ns/op
# Warmup Iteration   4: 40540.129 ns/op
# Warmup Iteration   5: 37627.786 ns/op
Iteration   1: 36425.479 ns/op
Iteration   2: 37127.401 ns/op
Iteration   3: 36666.704 ns/op
Iteration   4: 35390.119 ns/op
Iteration   5: 34790.293 ns/op


Result "org.sample.MLDSABenchmark.benchmarkKeyGeneration":
  35494.228 ±(99.9%) 535.347 ns/op [Average]
  (min, avg, max) = (34440.341, 35494.228, 37127.401), stdev = 714.672
  CI (99.9%): [34958.881, 36029.575] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.MLDSABenchmark.benchmarkSigning

# Run progress: 20.00% complete, ETA 00:03:23
# Fork: 1 of 5
# Warmup Iteration   1: 81314.743 ns/op
# Warmup Iteration   2: 83726.465 ns/op
# Warmup Iteration   3: 87823.070 ns/op
# Warmup Iteration   4: 82508.824 ns/op
# Warmup Iteration   5: 82346.231 ns/op
Iteration   1: 85049.535 ns/op
Iteration   2: 84293.637 ns/op
Iteration   3: 83984.161 ns/op
Iteration   4: 83266.479 ns/op
Iteration   5: 81985.839 ns/op

# Run progress: 24.00% complete, ETA 00:03:13
# Fork: 2 of 5
# Warmup Iteration   1: 81589.303 ns/op
# Warmup Iteration   2: 81876.417 ns/op
# Warmup Iteration   3: 85252.567 ns/op
# Warmup Iteration   4: 81890.543 ns/op
# Warmup Iteration   5: 82041.328 ns/op
Iteration   1: 81059.062 ns/op
Iteration   2: 82747.305 ns/op
Iteration   3: 88375.176 ns/op
Iteration   4: 87459.265 ns/op
Iteration   5: 83312.517 ns/op

# Run progress: 28.00% complete, ETA 00:03:03
# Fork: 3 of 5
# Warmup Iteration   1: 82312.250 ns/op
# Warmup Iteration   2: 82603.320 ns/op
# Warmup Iteration   3: 82232.106 ns/op
# Warmup Iteration   4: 81150.930 ns/op
# Warmup Iteration   5: 81654.278 ns/op
Iteration   1: 81335.573 ns/op
Iteration   2: 82947.349 ns/op
Iteration   3: 79967.883 ns/op
Iteration   4: 81310.827 ns/op
Iteration   5: 81884.289 ns/op

# Run progress: 32.00% complete, ETA 00:02:53
# Fork: 4 of 5
# Warmup Iteration   1: 82529.124 ns/op
# Warmup Iteration   2: 82037.931 ns/op
# Warmup Iteration   3: 83809.788 ns/op
# Warmup Iteration   4: 81029.549 ns/op
# Warmup Iteration   5: 83587.258 ns/op
Iteration   1: 81206.894 ns/op
Iteration   2: 80958.211 ns/op
Iteration   3: 80565.415 ns/op
Iteration   4: 83916.183 ns/op
Iteration   5: 82454.922 ns/op

# Run progress: 36.00% complete, ETA 00:02:43
# Fork: 5 of 5
# Warmup Iteration   1: 81770.893 ns/op
# Warmup Iteration   2: 80932.828 ns/op
# Warmup Iteration   3: 82464.135 ns/op
# Warmup Iteration   4: 81641.259 ns/op
# Warmup Iteration   5: 82766.518 ns/op
Iteration   1: 81587.396 ns/op
Iteration   2: 83116.704 ns/op
Iteration   3: 82007.229 ns/op
Iteration   4: 81104.840 ns/op
Iteration   5: 81720.411 ns/op


Result "org.sample.MLDSABenchmark.benchmarkSigning":
  82704.684 ±(99.9%) 1507.530 ns/op [Average]
  (min, avg, max) = (79967.883, 82704.684, 88375.176), stdev = 2012.509
  CI (99.9%): [81197.154, 84212.214] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.MLDSABenchmark.benchmarkVerification

# Run progress: 40.00% complete, ETA 00:02:32
# Fork: 1 of 5
# Warmup Iteration   1: 117681.393 ns/op
# Warmup Iteration   2: 116767.477 ns/op
# Warmup Iteration   3: 114673.336 ns/op
# Warmup Iteration   4: 112312.913 ns/op
# Warmup Iteration   5: 111869.487 ns/op
Iteration   1: 112694.861 ns/op
Iteration   2: 117110.617 ns/op
Iteration   3: 120381.990 ns/op
Iteration   4: 112971.327 ns/op
Iteration   5: 111202.197 ns/op

