# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 115481.832 ns/op
# Warmup Iteration   2: 65867.375 ns/op
# Warmup Iteration   3: 66789.874 ns/op
# Warmup Iteration   4: 59077.112 ns/op
# Warmup Iteration   5: 59968.747 ns/op
Iteration   1: 61967.946 ns/op
Iteration   2: 69013.253 ns/op
Iteration   3: 61997.125 ns/op
Iteration   4: 65649.181 ns/op
Iteration   5: 63074.682 ns/op

# Run progress: 4.00% complete, ETA 00:04:04
# Fork: 2 of 5
# Warmup Iteration   1: 104543.651 ns/op
# Warmup Iteration   2: 66909.006 ns/op
# Warmup Iteration   3: 57988.079 ns/op
# Warmup Iteration   4: 57195.595 ns/op
# Warmup Iteration   5: 56050.343 ns/op
Iteration   1: 57224.604 ns/op
Iteration   2: 57270.953 ns/op
Iteration   3: 57112.257 ns/op
Iteration   4: 57468.186 ns/op
Iteration   5: 55775.526 ns/op

# Run progress: 8.00% complete, ETA 00:03:54
# Fork: 3 of 5
# Warmup Iteration   1: 161633.850 ns/op
# Warmup Iteration   2: 68069.477 ns/op
# Warmup Iteration   3: 61333.884 ns/op
# Warmup Iteration   4: 59008.043 ns/op
# Warmup Iteration   5: 57731.227 ns/op
Iteration   1: 57815.868 ns/op
Iteration   2: 57994.216 ns/op
Iteration   3: 57309.399 ns/op
Iteration   4: 56608.989 ns/op
Iteration   5: 57147.944 ns/op

# Run progress: 12.00% complete, ETA 00:03:44
# Fork: 4 of 5
# Warmup Iteration   1: 103387.925 ns/op
# Warmup Iteration   2: 63971.839 ns/op
# Warmup Iteration   3: 61939.324 ns/op
# Warmup Iteration   4: 61010.283 ns/op
# Warmup Iteration   5: 60496.121 ns/op
Iteration   1: 60513.398 ns/op
Iteration   2: 59064.573 ns/op
Iteration   3: 57925.145 ns/op
Iteration   4: 59828.690 ns/op
Iteration   5: 61179.386 ns/op

# Run progress: 16.00% complete, ETA 00:03:33
# Fork: 5 of 5
# Warmup Iteration   1: 131596.394 ns/op
# Warmup Iteration   2: 65099.028 ns/op
# Warmup Iteration   3: 68954.656 ns/op
# Warmup Iteration   4: 60847.794 ns/op
# Warmup Iteration   5: 63506.577 ns/op
Iteration   1: 60977.883 ns/op
Iteration   2: 60270.431 ns/op
Iteration   3: 57951.178 ns/op
Iteration   4: 56474.353 ns/op
Iteration   5: 59003.750 ns/op


Result "org.sample.ECDSABenchmark.benchmarkKeyGeneration":
  59464.757 ±(99.9%) 2330.140 ns/op [Average]
  (min, avg, max) = (55775.526, 59464.757, 69013.253), stdev = 3110.670
  CI (99.9%): [57134.617, 61794.897] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkSigning

# Run progress: 20.00% complete, ETA 00:03:23
# Fork: 1 of 5
# Warmup Iteration   1: 388345.892 ns/op
# Warmup Iteration   2: 300415.320 ns/op
# Warmup Iteration   3: 290919.559 ns/op
# Warmup Iteration   4: 274673.534 ns/op
# Warmup Iteration   5: 276096.883 ns/op
Iteration   1: 312383.010 ns/op
Iteration   2: 263187.633 ns/op
Iteration   3: 274396.754 ns/op
Iteration   4: 268022.094 ns/op
Iteration   5: 276893.288 ns/op

# Run progress: 24.00% complete, ETA 00:03:13
# Fork: 2 of 5
# Warmup Iteration   1: 339406.223 ns/op
# Warmup Iteration   2: 278636.020 ns/op
# Warmup Iteration   3: 292177.538 ns/op
# Warmup Iteration   4: 267810.763 ns/op
# Warmup Iteration   5: 278940.885 ns/op
Iteration   1: 284730.062 ns/op
Iteration   2: 273782.259 ns/op
Iteration   3: 267825.109 ns/op
Iteration   4: 265777.027 ns/op
Iteration   5: 266947.018 ns/op

# Run progress: 28.00% complete, ETA 00:03:03
# Fork: 3 of 5
# Warmup Iteration   1: 355889.458 ns/op
# Warmup Iteration   2: 269927.155 ns/op
# Warmup Iteration   3: 291139.115 ns/op
# Warmup Iteration   4: 285841.749 ns/op
# Warmup Iteration   5: 292309.130 ns/op
Iteration   1: 313772.566 ns/op
Iteration   2: 320050.571 ns/op
Iteration   3: 320995.230 ns/op
Iteration   4: 313709.598 ns/op
Iteration   5: 308420.731 ns/op

# Run progress: 32.00% complete, ETA 00:02:53
# Fork: 4 of 5
# Warmup Iteration   1: 473607.981 ns/op
# Warmup Iteration   2: 346068.438 ns/op
# Warmup Iteration   3: 350858.970 ns/op
# Warmup Iteration   4: 337713.816 ns/op
# Warmup Iteration   5: 316485.586 ns/op
Iteration   1: 325122.370 ns/op
Iteration   2: 320891.045 ns/op
Iteration   3: 306006.811 ns/op
Iteration   4: 291271.703 ns/op
Iteration   5: 291791.160 ns/op

# Run progress: 36.00% complete, ETA 00:02:43
# Fork: 5 of 5
# Warmup Iteration   1: 454328.771 ns/op
# Warmup Iteration   2: 325306.624 ns/op
# Warmup Iteration   3: 330936.227 ns/op
# Warmup Iteration   4: 280942.424 ns/op
# Warmup Iteration   5: 275797.726 ns/op
Iteration   1: 311401.831 ns/op
Iteration   2: 297516.610 ns/op
Iteration   3: 283942.167 ns/op
Iteration   4: 273335.755 ns/op
Iteration   5: 273329.207 ns/op


Result "org.sample.ECDSABenchmark.benchmarkSigning":
  292220.064 ±(99.9%) 15876.941 ns/op [Average]
  (min, avg, max) = (263187.633, 292220.064, 325122.370), stdev = 21195.262
  CI (99.9%): [276343.123, 308097.005] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkVerification

# Run progress: 40.00% complete, ETA 00:02:32
# Fork: 1 of 5
# Warmup Iteration   1: 745894.157 ns/op
# Warmup Iteration   2: 564411.128 ns/op
# Warmup Iteration   3: 559514.168 ns/op
# Warmup Iteration   4: 503590.711 ns/op
# Warmup Iteration   5: 504651.710 ns/op
Iteration   1: 492771.950 ns/op
Iteration   2: 550151.626 ns/op
Iteration   3: 630686.970 ns/op
Iteration   4: 507110.370 ns/op
Iteration   5: 492659.083 ns/op

# Run progress: 44.00% complete, ETA 00:02:22
# Fork: 2 of 5
# Warmup Iteration   1: 819451.930 ns/op
# Warmup Iteration   2: 577214.986 ns/op
# Warmup Iteration   3: 558659.177 ns/op
# Warmup Iteration   4: 501247.659 ns/op
# Warmup Iteration   5: 495167.845 ns/op
Iteration   1: 500514.145 ns/op
Iteration   2: 539170.430 ns/op
Iteration   3: 537528.296 ns/op
Iteration   4: 548536.785 ns/op
Iteration   5: 511042.793 ns/op

# Run progress: 48.00% complete, ETA 00:02:12
# Fork: 3 of 5
# Warmup Iteration   1: 1230208.738 ns/op
# Warmup Iteration   2: 586030.273 ns/op
# Warmup Iteration   3: 544691.861 ns/op
# Warmup Iteration   4: 522540.036 ns/op
# Warmup Iteration   5: 514723.850 ns/op
Iteration   1: 493014.751 ns/op
Iteration   2: 628910.621 ns/op
Iteration   3: 535387.903 ns/op
Iteration   4: 492475.685 ns/op
Iteration   5: 491973.003 ns/op

# Run progress: 52.00% complete, ETA 00:02:02
# Fork: 4 of 5
# Warmup Iteration   1: 742760.446 ns/op
# Warmup Iteration   2: 582442.395 ns/op
