# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 02:45:00
# Fork: 1 of 5
# Warmup Iteration   1: 134671.869 ns/op
# Warmup Iteration   2: 74628.451 ns/op
# Warmup Iteration   3: 59428.001 ns/op
# Warmup Iteration   4: 63360.924 ns/op
# Warmup Iteration   5: 61486.580 ns/op
# Warmup Iteration   6: 64780.108 ns/op
# Warmup Iteration   7: 57246.800 ns/op
# Warmup Iteration   8: 58081.752 ns/op
# Warmup Iteration   9: 57657.816 ns/op
# Warmup Iteration  10: 60837.091 ns/op
Iteration   1: 62774.479 ns/op
Iteration   2: 61888.531 ns/op
Iteration   3: 64075.759 ns/op
Iteration   4: 62388.781 ns/op
Iteration   5: 61139.569 ns/op
Iteration   6: 65579.510 ns/op
Iteration   7: 68229.579 ns/op
Iteration   8: 66323.077 ns/op
Iteration   9: 71304.069 ns/op
Iteration  10: 61829.313 ns/op
Iteration  11: 63305.712 ns/op
Iteration  12: 60631.281 ns/op
Iteration  13: 64866.653 ns/op
Iteration  14: 59848.457 ns/op
Iteration  15: 63127.846 ns/op
Iteration  16: 67937.271 ns/op
Iteration  17: 64804.889 ns/op
Iteration  18: 64457.776 ns/op
Iteration  19: 63263.167 ns/op
Iteration  20: 67833.749 ns/op
Iteration  21: 76853.485 ns/op
Iteration  22: 62577.198 ns/op
Iteration  23: 63853.343 ns/op
Iteration  24: 62635.528 ns/op
Iteration  25: 62893.420 ns/op
Iteration  26: 65651.668 ns/op
Iteration  27: 64468.129 ns/op
Iteration  28: 61868.739 ns/op
Iteration  29: 62495.365 ns/op
Iteration  30: 61270.088 ns/op
Iteration  31: 60661.400 ns/op
Iteration  32: 61615.727 ns/op
Iteration  33: 61898.119 ns/op
Iteration  34: 63531.464 ns/op
Iteration  35: 60673.549 ns/op
Iteration  36: 63286.275 ns/op
Iteration  37: 61580.208 ns/op
Iteration  38: 63765.890 ns/op
Iteration  39: 59893.545 ns/op
Iteration  40: 59903.916 ns/op
Iteration  41: 59067.382 ns/op
Iteration  42: 58576.043 ns/op
Iteration  43: 58186.293 ns/op
