# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 02:05:00
# Fork: 1 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁵ ops/ns
Iteration   3: ≈ 10⁻⁵ ops/ns
Iteration   4: ≈ 10⁻⁵ ops/ns
Iteration   5: ≈ 10⁻⁵ ops/ns

# Run progress: 1.33% complete, ETA 02:03:35
# Fork: 2 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁵ ops/ns
Iteration   3: ≈ 10⁻⁵ ops/ns
Iteration   4: ≈ 10⁻⁵ ops/ns
Iteration   5: ≈ 10⁻⁵ ops/ns

# Run progress: 2.67% complete, ETA 02:01:55
# Fork: 3 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁵ ops/ns
Iteration   3: ≈ 10⁻⁵ ops/ns
Iteration   4: ≈ 10⁻⁵ ops/ns
Iteration   5: ≈ 10⁻⁵ ops/ns

# Run progress: 4.00% complete, ETA 02:00:15
# Fork: 4 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁵ ops/ns
Iteration   3: ≈ 10⁻⁵ ops/ns
Iteration   4: ≈ 10⁻⁵ ops/ns
Iteration   5: ≈ 10⁻⁵ ops/ns

# Run progress: 5.33% complete, ETA 01:58:38
# Fork: 5 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁵ ops/ns
Iteration   3: ≈ 10⁻⁵ ops/ns
Iteration   4: ≈ 10⁻⁵ ops/ns
Iteration   5: ≈ 10⁻⁵ ops/ns


Result "org.sample.ECDSABenchmark.benchmarkKeyGeneration":
  ≈ 10⁻⁵ ops/ns


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.ECDSABenchmark.benchmarkSigning

# Run progress: 6.67% complete, ETA 01:57:00
# Fork: 1 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁵ ops/ns
Iteration   3: ≈ 10⁻⁵ ops/ns
Iteration   4: ≈ 10⁻⁵ ops/ns
Iteration   5: ≈ 10⁻⁵ ops/ns

# Run progress: 8.00% complete, ETA 01:55:20
# Fork: 2 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁶ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns

# Run progress: 9.33% complete, ETA 01:53:39
# Fork: 3 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns

# Run progress: 10.67% complete, ETA 01:51:58
# Fork: 4 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁶ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns

# Run progress: 12.00% complete, ETA 01:50:19
# Fork: 5 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
Iteration   1: ≈ 10⁻⁵ ops/ns
Iteration   2: ≈ 10⁻⁵ ops/ns
Iteration   3: ≈ 10⁻⁵ ops/ns
Iteration   4: ≈ 10⁻⁵ ops/ns
Iteration   5: ≈ 10⁻⁵ ops/ns


Result "org.sample.ECDSABenchmark.benchmarkSigning":
  ≈ 10⁻⁶ ops/ns


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.ECDSABenchmark.benchmarkVerification

# Run progress: 13.33% complete, ETA 01:48:39
# Fork: 1 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁶ ops/ns
